,call_id,account_id,borrower_id,event_at,agent_id,campaign_id,direction,vendor_id,call_status,duration_sec,timezone
7214,CALL0007215,ACC0002256,BRW0004867,2026-04-22 02:23:35,,CMP0000063,OUTBOUND,VND0000010,VOICEMAIL,237,Asia/Kolkata
90302,CALL0007215,ACC0002256,BRW0004867,2026-04-22 02:23:35,AGT0000859,CMP0000063,OUTBOUND,VND0000010,VOICEMAIL,237,Asia/Kolkata
8416,CALL0008417,ACC0022860,BRW0001667,2026-04-29 23:55:18,,CMP0000117,OUTBOUND,VND0000009,ANSWERED,246,UTC
90181,CALL0008417,ACC0022860,BRW0001667,2026-04-29 23:55:18,AGT0000667,CMP0000117,OUTBOUND,VND0000009,ANSWERED,246,UTC
8647,CALL0008648,ACC0016926,BRW0001908,2026-06-04 21:34:24,AGT0000932,CMP0000101,OUTBOUND,VND0000002,ANSWERED,812,UTC
90332,CALL0008648,ACC0016926,BRW0001908,2026-06-07 21:34:24,AGT0000932,CMP0000101,OUTBOUND,VND0000002,ANSWERED,812,UTC
12979,CALL0012980,ACC0025550,BRW0011650,2026-01-24 03:34:23,,CMP0000074,OUTBOUND,VND0000003,VOICEMAIL,183,UTC
90802,CALL0012980,ACC0025550,BRW0011650,2026-01-24 03:34:23,AGT0000424,CMP0000074,OUTBOUND,VND0000003,VOICEMAIL,183,UTC
13421,CALL0013422,ACC0016878,BRW0011225,2026-04-08 18:48:51,,CMP0000022,OUTBOUND,VND0000005,FAILED,245,Asia/Kolkata
90876,CALL0013422,ACC0016878,BRW0011225,2026-04-08 18:48:51,AGT0000790,CMP0000022,OUTBOUND,VND0000005,FAILED,245,Asia/Kolkata
91341,CALL0013470,ACC0011890,BRW0002352,2026-03-29 06:06:00,AGT0000310,CMP0000085,OUTBOUND,VND0000005,BUSY,178,Asia/Kolkata
13469,CALL0013470,ACC0011890,BRW0002352,2026-03-31 06:06:00,AGT0000310,CMP0000085,OUTBOUND,VND0000005,BUSY,178,Asia/Kolkata
13627,CALL0013628,ACC0013601,BRW0002935,2026-01-03 01:27:04,,CMP0000064,OUTBOUND,VND0000015,ANSWERED,256,UTC
91331,CALL0013628,ACC0013601,BRW0002935,2026-01-03 01:27:04,AGT0000336,CMP0000064,OUTBOUND,VND0000015,ANSWERED,256,UTC
16339,CALL0016340,ACC0019702,BRW0002648,2026-06-25 03:59:19,AGT0000289,CMP0000016,OUTBOUND,VND0000010,VOICEMAIL,362,UTC
90752,CALL0016340,ACC0019702,BRW0002648,2026-06-25 03:59:19,,CMP0000016,OUTBOUND,VND0000010,VOICEMAIL,362,UTC
16870,CALL0016871,ACC0002175,BRW0002678,2026-03-25 09:47:10,,CMP0000059,OUTBOUND,VND0000014,ANSWERED,802,Asia/Kolkata
91074,CALL0016871,ACC0002175,BRW0002678,2026-03-25 09:47:10,AGT0000931,CMP0000059,OUTBOUND,VND0000014,ANSWERED,802,Asia/Kolkata
17182,CALL0017183,ACC0011864,BRW0004302,2026-01-19 16:50:45,,CMP0000064,OUTBOUND,VND0000013,FAILED,54,UTC
90531,CALL0017183,ACC0011864,BRW0004302,2026-01-19 16:50:45,AGT0000445,CMP0000064,OUTBOUND,VND0000013,FAILED,54,UTC
17778,CALL0017779,ACC0012785,BRW0011404,2026-02-07 18:54:53,AGT0000246,CMP0000006,OUTBOUND,VND0000004,VOICEMAIL,263,Asia/Kolkata
90128,CALL0017779,ACC0012785,BRW0011404,2026-02-07 18:54:53,,CMP0000006,OUTBOUND,VND0000004,VOICEMAIL,263,Asia/Kolkata
18039,CALL0018040,ACC0010061,BRW0001639,2026-06-20 11:42:43,AGT0000612,CMP0000115,OUTBOUND,VND0000010,BUSY,599,UTC
90082,CALL0018040,ACC0010061,BRW0001639,2026-06-20 11:42:43,,CMP0000115,OUTBOUND,VND0000010,BUSY,599,UTC
18858,CALL0018859,ACC0019393,BRW0009997,2026-02-07 17:37:44,AGT0000173,CMP0000009,OUTBOUND,VND0000002,NO_ANSWER,472,Asia/Kolkata
90813,CALL0018859,ACC0019393,BRW0009997,2026-02-07 17:37:44,,CMP0000009,OUTBOUND,VND0000002,NO_ANSWER,472,Asia/Kolkata
18860,CALL0018861,ACC0021386,BRW0008631,2026-05-06 17:26:33,,CMP0000047,INBOUND,VND0000012,BUSY,596,UTC
91046,CALL0018861,ACC0021386,BRW0008631,2026-05-06 17:26:33,AGT0000618,CMP0000047,INBOUND,VND0000012,BUSY,596,UTC
21599,CALL0021600,ACC0011575,BRW0001759,2026-02-02 13:35:57,,CMP0000107,OUTBOUND,VND0000009,ANSWERED,44,Asia/Dubai
90999,CALL0021600,ACC0011575,BRW0001759,2026-02-02 13:35:57,AGT0000943,CMP0000107,OUTBOUND,VND0000009,ANSWERED,44,Asia/Dubai
21602,CALL0021603,ACC0005035,BRW0001306,2026-04-12 18:54:25,AGT0000003,CMP0000003,OUTBOUND,VND0000004,ANSWERED,672,Asia/Kolkata
90666,CALL0021603,ACC0005035,BRW0001306,2026-04-12 18:54:25,,CMP0000003,OUTBOUND,VND0000004,ANSWERED,672,Asia/Kolkata
25899,CALL0025900,ACC0025725,BRW0010646,2026-02-10 22:01:37,,CMP0000010,OUTBOUND,VND0000015,FAILED,427,Asia/Kolkata
91157,CALL0025900,ACC0025725,BRW0010646,2026-02-10 22:01:37,AGT0000211,CMP0000010,OUTBOUND,VND0000015,FAILED,427,Asia/Kolkata
26966,CALL0026967,ACC0023016,BRW0004132,2026-01-13 07:02:17,,CMP0000031,OUTBOUND,VND0000007,FAILED,854,Asia/Dubai
90493,CALL0026967,ACC0023016,BRW0004132,2026-01-13 07:02:17,AGT0000801,CMP0000031,OUTBOUND,VND0000007,FAILED,854,Asia/Dubai
28347,CALL0028348,ACC0013197,BRW0000163,2026-04-07 20:28:11,,CMP0000097,OUTBOUND,VND0000002,BUSY,340,Asia/Dubai
91126,CALL0028348,ACC0013197,BRW0000163,2026-04-07 20:28:11,AGT0000524,CMP0000097,OUTBOUND,VND0000002,BUSY,340,Asia/Dubai
29434,CALL0029435,ACC0012706,BRW0000474,2026-04-27 10:01:19,AGT0000800,CMP0000001,OUTBOUND,VND0000014,VOICEMAIL,232,Asia/Kolkata
90641,CALL0029435,ACC0012706,BRW0000474,2026-04-27 10:01:19,,CMP0000001,OUTBOUND,VND0000014,VOICEMAIL,232,Asia/Kolkata
29905,CALL0029906,ACC0026782,BRW0004540,2026-01-20 17:20:12,AGT0000282,CMP0000009,OUTBOUND,VND0000002,VOICEMAIL,810,UTC
91076,CALL0029906,ACC0026782,BRW0004540,2026-01-20 17:20:12,,CMP0000009,OUTBOUND,VND0000002,VOICEMAIL,810,UTC
30347,CALL0030348,ACC0017421,BRW0002010,2026-06-29 19:28:31,,CMP0000108,OUTBOUND,VND0000005,VOICEMAIL,846,UTC
91281,CALL0030348,ACC0017421,BRW0002010,2026-06-29 19:28:31,AGT0000192,CMP0000108,OUTBOUND,VND0000005,VOICEMAIL,846,UTC
33128,CALL0033129,ACC0000312,BRW0008318,2026-04-26 04:54:10,,CMP0000043,OUTBOUND,VND0000013,BUSY,140,Asia/Dubai
90192,CALL0033129,ACC0000312,BRW0008318,2026-04-26 04:54:10,AGT0000692,CMP0000043,OUTBOUND,VND0000013,BUSY,140,Asia/Dubai
33198,CALL0033199,ACC0012283,BRW0010399,2026-03-14 21:58:31,AGT0000357,CMP0000073,OUTBOUND,VND0000006,BUSY,645,Asia/Dubai
90700,CALL0033199,ACC0012283,BRW0010399,2026-03-14 21:58:31,,CMP0000073,OUTBOUND,VND0000006,BUSY,645,Asia/Dubai
33456,CALL0033457,ACC0006575,BRW0001275,2026-07-07 19:27:18,AGT0000375,CMP0000097,OUTBOUND,VND0000011,VOICEMAIL,126,Asia/Kolkata
90852,CALL0033457,ACC0006575,BRW0001275,2026-07-07 19:27:18,,CMP0000097,OUTBOUND,VND0000011,VOICEMAIL,126,Asia/Kolkata
34432,CALL0034433,ACC0005258,BRW0000657,2026-04-07 22:19:45,,CMP0000041,INBOUND,VND0000006,ANSWERED,336,Asia/Kolkata
90004,CALL0034433,ACC0005258,BRW0000657,2026-04-07 22:19:45,AGT0000532,CMP0000041,INBOUND,VND0000006,ANSWERED,336,Asia/Kolkata
36670,CALL0036671,ACC0022175,BRW0007975,2026-04-08 07:07:15,,CMP0000007,OUTBOUND,VND0000004,VOICEMAIL,654,UTC
91037,CALL0036671,ACC0022175,BRW0007975,2026-04-08 07:07:15,AGT0000292,CMP0000007,OUTBOUND,VND0000004,VOICEMAIL,654,UTC
39062,CALL0039063,ACC0017348,BRW0009524,2026-02-18 06:39:02,AGT0000296,CMP0000092,OUTBOUND,VND0000012,FAILED,281,UTC
90644,CALL0039063,ACC0017348,BRW0009524,2026-02-18 06:39:02,,CMP0000092,OUTBOUND,VND0000012,FAILED,281,UTC
41748,CALL0041749,ACC0010948,BRW0005492,2026-07-22 12:31:44,AGT0000694,CMP0000004,OUTBOUND,VND0000007,BUSY,417,Asia/Dubai
91307,CALL0041749,ACC0010948,BRW0005492,2026-07-22 12:31:44,,CMP0000004,OUTBOUND,VND0000007,BUSY,417,Asia/Dubai
43229,CALL0043230,ACC0023967,BRW0000980,2026-06-19 00:06:08,,CMP0000041,INBOUND,VND0000014,FAILED,324,Asia/Kolkata
91097,CALL0043230,ACC0023967,BRW0000980,2026-06-19 00:06:08,AGT0000607,CMP0000041,INBOUND,VND0000014,FAILED,324,Asia/Kolkata
43348,CALL0043349,ACC0028071,BRW0004156,2026-01-11 04:18:59,AGT0000464,CMP0000019,OUTBOUND,VND0000010,NO_ANSWER,477,Asia/Dubai
90631,CALL0043349,ACC0028071,BRW0004156,2026-01-11 04:18:59,,CMP0000019,OUTBOUND,VND0000010,NO_ANSWER,477,Asia/Dubai
44599,CALL0044600,ACC0019936,BRW0003449,2026-04-19 01:48:18,AGT0000904,CMP0000067,OUTBOUND,VND0000007,VOICEMAIL,187,Asia/Kolkata
90479,CALL0044600,ACC0019936,BRW0003449,2026-04-19 01:48:18,,CMP0000067,OUTBOUND,VND0000007,VOICEMAIL,187,Asia/Kolkata
45166,CALL0045167,ACC0017952,BRW0001219,2026-03-05 05:35:38,AGT0000965,CMP0000115,OUTBOUND,VND0000002,FAILED,592,Asia/Dubai
90590,CALL0045167,ACC0017952,BRW0001219,2026-03-05 05:35:38,,CMP0000115,OUTBOUND,VND0000002,FAILED,592,Asia/Dubai
45243,CALL0045244,ACC0014611,BRW0001659,2026-02-09 22:50:05,,CMP0000060,OUTBOUND,VND0000011,ANSWERED,197,Asia/Dubai
90657,CALL0045244,ACC0014611,BRW0001659,2026-02-09 22:50:05,AGT0000734,CMP0000060,OUTBOUND,VND0000011,ANSWERED,197,Asia/Dubai
45941,CALL0045942,ACC0027316,BRW0004185,2026-03-21 11:37:26,AGT0000524,CMP0000029,OUTBOUND,VND0000012,FAILED,890,Asia/Dubai
90899,CALL0045942,ACC0027316,BRW0004185,2026-03-21 11:37:26,,CMP0000029,OUTBOUND,VND0000012,FAILED,890,Asia/Dubai
47203,CALL0047204,ACC0005873,BRW0004548,2026-05-06 17:36:49,AGT0000914,CMP0000053,OUTBOUND,VND0000001,ANSWERED,254,UTC
90088,CALL0047204,ACC0005873,BRW0004548,2026-05-06 17:36:49,,CMP0000053,OUTBOUND,VND0000001,ANSWERED,254,UTC
47758,CALL0047759,ACC0013545,BRW0010222,2026-01-23 00:30:44,AGT0000355,CMP0000007,OUTBOUND,VND0000011,FAILED,482,UTC
90103,CALL0047759,ACC0013545,BRW0010222,2026-01-23 00:30:44,,CMP0000007,OUTBOUND,VND0000011,FAILED,482,UTC
51816,CALL0051817,ACC0029100,BRW0009851,2026-05-16 18:29:47,AGT0000676,CMP0000110,OUTBOUND,VND0000006,ANSWERED,391,Asia/Dubai
90407,CALL0051817,ACC0029100,BRW0009851,2026-05-16 18:29:47,,CMP0000110,OUTBOUND,VND0000006,ANSWERED,391,Asia/Dubai
51978,CALL0051979,ACC0010004,BRW0010359,2026-03-11 00:01:22,AGT0000709,CMP0000041,INBOUND,VND0000006,ANSWERED,171,UTC
90215,CALL0051979,ACC0010004,BRW0010359,2026-03-11 00:01:22,,CMP0000041,INBOUND,VND0000006,ANSWERED,171,UTC
52645,CALL0052646,ACC0029222,BRW0003809,2026-04-21 12:11:55,AGT0000480,CMP0000106,OUTBOUND,VND0000008,VOICEMAIL,327,Asia/Dubai
90438,CALL0052646,ACC0029222,BRW0003809,2026-04-21 12:11:55,,CMP0000106,OUTBOUND,VND0000008,VOICEMAIL,327,Asia/Dubai
52716,CALL0052717,ACC0017270,BRW0006060,2026-01-10 02:41:11,,CMP0000066,INBOUND,VND0000001,NO_ANSWER,435,Asia/Kolkata
90240,CALL0052717,ACC0017270,BRW0006060,2026-01-10 02:41:11,AGT0000163,CMP0000066,INBOUND,VND0000001,NO_ANSWER,435,Asia/Kolkata
52747,CALL0052748,ACC0023105,BRW0011095,2026-03-19 19:33:36,,CMP0000096,OUTBOUND,VND0000002,ANSWERED,376,Asia/Kolkata
90726,CALL0052748,ACC0023105,BRW0011095,2026-03-19 19:33:36,AGT0000280,CMP0000096,OUTBOUND,VND0000002,ANSWERED,376,Asia/Kolkata
54425,CALL0054426,ACC0002422,BRW0004949,2026-01-02 11:49:45,AGT0000865,CMP0000007,OUTBOUND,VND0000005,NO_ANSWER,122,UTC
90408,CALL0054426,ACC0002422,BRW0004949,2026-01-02 11:49:45,,CMP0000007,OUTBOUND,VND0000005,NO_ANSWER,122,UTC
55569,CALL0055570,ACC0018007,BRW0008448,2026-05-05 08:06:55,AGT0000374,CMP0000007,INBOUND,VND0000006,NO_ANSWER,660,Asia/Kolkata
91121,CALL0055570,ACC0018007,BRW0008448,2026-05-05 08:06:55,,CMP0000007,INBOUND,VND0000006,NO_ANSWER,660,Asia/Kolkata
56386,CALL0056387,ACC0019263,BRW0003577,2026-01-24 06:21:31,,CMP0000070,OUTBOUND,VND0000006,FAILED,891,Asia/Dubai
90278,CALL0056387,ACC0019263,BRW0003577,2026-01-24 06:21:31,AGT0000099,CMP0000070,OUTBOUND,VND0000006,FAILED,891,Asia/Dubai
90396,CALL0056697,ACC0024264,BRW0003381,2026-02-26 00:25:38,AGT0000632,CMP0000008,OUTBOUND,VND0000013,VOICEMAIL,489,UTC
56696,CALL0056697,ACC0024264,BRW0003381,2026-03-03 00:25:38,AGT0000632,CMP0000008,OUTBOUND,VND0000013,VOICEMAIL,489,UTC
90273,CALL0059442,ACC0003269,BRW0002376,2026-01-20 02:17:08,AGT0000378,CMP0000073,OUTBOUND,VND0000014,VOICEMAIL,708,Asia/Dubai
59441,CALL0059442,ACC0003269,BRW0002376,2026-01-25 02:17:08,AGT0000378,CMP0000073,OUTBOUND,VND0000014,VOICEMAIL,708,Asia/Dubai
60870,CALL0060871,ACC0011353,BRW0007828,2026-03-20 22:02:33,AGT0000388,CMP0000100,OUTBOUND,VND0000001,BUSY,310,UTC
90280,CALL0060871,ACC0011353,BRW0007828,2026-03-20 22:02:33,,CMP0000100,OUTBOUND,VND0000001,BUSY,310,UTC
62726,CALL0062727,ACC0019020,BRW0000629,2026-04-11 11:17:47,,CMP0000045,INBOUND,VND0000001,FAILED,289,Asia/Dubai
90109,CALL0062727,ACC0019020,BRW0000629,2026-04-11 11:17:47,AGT0000629,CMP0000045,INBOUND,VND0000001,FAILED,289,Asia/Dubai
62779,CALL0062780,ACC0014858,BRW0003671,2026-05-30 15:23:02,AGT0000534,CMP0000022,OUTBOUND,VND0000002,FAILED,565,UTC
90105,CALL0062780,ACC0014858,BRW0003671,2026-05-30 15:23:02,,CMP0000022,OUTBOUND,VND0000002,FAILED,565,UTC
63146,CALL0063147,ACC0029997,BRW0010012,2026-01-06 09:20:14,,CMP0000012,OUTBOUND,VND0000004,VOICEMAIL,834,UTC
91113,CALL0063147,ACC0029997,BRW0010012,2026-01-06 09:20:14,AGT0000362,CMP0000012,OUTBOUND,VND0000004,VOICEMAIL,834,UTC
90980,CALL0063660,ACC0024623,BRW0005393,2026-04-23 19:26:58,AGT0000752,CMP0000072,OUTBOUND,VND0000009,FAILED,570,UTC
63659,CALL0063660,ACC0024623,BRW0005393,2026-04-28 19:26:58,AGT0000752,CMP0000072,OUTBOUND,VND0000009,FAILED,570,UTC
65800,CALL0065801,ACC0005682,BRW0000150,2026-06-13 05:23:08,,CMP0000091,OUTBOUND,VND0000015,ANSWERED,471,Asia/Kolkata
91147,CALL0065801,ACC0005682,BRW0000150,2026-06-13 05:23:08,AGT0000086,CMP0000091,OUTBOUND,VND0000015,ANSWERED,471,Asia/Kolkata
66506,CALL0066507,ACC0010183,BRW0003838,2026-04-01 11:54:30,AGT0000111,CMP0000068,OUTBOUND,VND0000008,NO_ANSWER,843,UTC
91062,CALL0066507,ACC0010183,BRW0003838,2026-04-01 11:54:30,,CMP0000068,OUTBOUND,VND0000008,NO_ANSWER,843,UTC
67310,CALL0067311,ACC0008789,BRW0002973,2026-06-14 08:55:02,,CMP0000004,OUTBOUND,VND0000006,FAILED,410,Asia/Dubai
90504,CALL0067311,ACC0008789,BRW0002973,2026-06-14 08:55:02,AGT0000874,CMP0000004,OUTBOUND,VND0000006,FAILED,410,Asia/Dubai
69512,CALL0069513,ACC0020279,BRW0002244,2026-03-17 09:10:27,,CMP0000036,OUTBOUND,VND0000012,BUSY,651,Asia/Kolkata
91336,CALL0069513,ACC0020279,BRW0002244,2026-03-17 09:10:27,AGT0000090,CMP0000036,OUTBOUND,VND0000012,BUSY,651,Asia/Kolkata
70345,CALL0070346,ACC0026024,BRW0006848,2026-04-28 20:41:41,,CMP0000015,OUTBOUND,VND0000005,ANSWERED,839,Asia/Kolkata
90599,CALL0070346,ACC0026024,BRW0006848,2026-04-28 20:41:41,AGT0000294,CMP0000015,OUTBOUND,VND0000005,ANSWERED,839,Asia/Kolkata
71591,CALL0071592,ACC0016390,BRW0004103,2026-07-03 08:25:17,,CMP0000018,OUTBOUND,VND0000001,NO_ANSWER,567,Asia/Kolkata
90018,CALL0071592,ACC0016390,BRW0004103,2026-07-03 08:25:17,AGT0000567,CMP0000018,OUTBOUND,VND0000001,NO_ANSWER,567,Asia/Kolkata
75639,CALL0075640,ACC0008838,BRW0006338,2026-07-13 04:20:46,,CMP0000080,OUTBOUND,VND0000008,NO_ANSWER,664,Asia/Kolkata
90205,CALL0075640,ACC0008838,BRW0006338,2026-07-13 04:20:46,AGT0000086,CMP0000080,OUTBOUND,VND0000008,NO_ANSWER,664,Asia/Kolkata
76302,CALL0076303,ACC0002904,BRW0001621,2026-03-30 02:49:39,AGT0000651,CMP0000073,OUTBOUND,VND0000013,BUSY,463,Asia/Dubai
90548,CALL0076303,ACC0002904,BRW0001621,2026-04-02 02:49:39,AGT0000651,CMP0000073,OUTBOUND,VND0000013,BUSY,463,Asia/Dubai
76572,CALL0076573,ACC0021391,BRW0001010,2026-01-25 18:13:47,,CMP0000003,OUTBOUND,VND0000011,ANSWERED,271,Asia/Dubai
91228,CALL0076573,ACC0021391,BRW0001010,2026-01-25 18:13:47,AGT0000524,CMP0000003,OUTBOUND,VND0000011,ANSWERED,271,Asia/Dubai
76840,CALL0076841,ACC0010480,BRW0008862,2026-03-20 15:27:30,,CMP0000044,OUTBOUND,VND0000004,BUSY,384,Asia/Kolkata
90347,CALL0076841,ACC0010480,BRW0008862,2026-03-20 15:27:30,AGT0000123,CMP0000044,OUTBOUND,VND0000004,BUSY,384,Asia/Kolkata
90620,CALL0077078,ACC0028077,BRW0005301,2026-05-12 05:00:00,AGT0000772,CMP0000105,OUTBOUND,VND0000007,BUSY,505,Asia/Dubai
77077,CALL0077078,ACC0028077,BRW0005301,2026-05-13 05:00:00,AGT0000772,CMP0000105,OUTBOUND,VND0000007,BUSY,505,Asia/Dubai
77269,CALL0077270,ACC0014108,BRW0011227,2026-03-03 18:52:52,AGT0001000,CMP0000023,OUTBOUND,VND0000009,BUSY,890,UTC
91061,CALL0077270,ACC0014108,BRW0011227,2026-03-03 18:52:52,,CMP0000023,OUTBOUND,VND0000009,BUSY,890,UTC
91134,CALL0079063,ACC0015177,BRW0007169,2026-03-05 02:44:38,AGT0000697,CMP0000116,OUTBOUND,VND0000011,NO_ANSWER,405,UTC
79062,CALL0079063,ACC0015177,BRW0007169,2026-03-06 02:44:38,AGT0000697,CMP0000116,OUTBOUND,VND0000011,NO_ANSWER,405,UTC
79087,CALL0079088,ACC0026650,BRW0011496,2026-04-15 14:06:23,,CMP0000108,OUTBOUND,VND0000008,VOICEMAIL,778,Asia/Kolkata
90684,CALL0079088,ACC0026650,BRW0011496,2026-04-15 14:06:23,AGT0000971,CMP0000108,OUTBOUND,VND0000008,VOICEMAIL,778,Asia/Kolkata
90831,CALL0081466,ACC0013166,BRW0006684,2026-08-07 15:43:05,AGT0000069,CMP0000056,INBOUND,VND0000012,BUSY,180,Asia/Kolkata
81465,CALL0081466,ACC0013166,BRW0006684,2026-08-12 15:43:05,AGT0000069,CMP0000056,INBOUND,VND0000012,BUSY,180,Asia/Kolkata
83924,CALL0083925,ACC0025414,BRW0003972,2026-06-30 07:48:13,,CMP0000027,INBOUND,VND0000013,BUSY,354,Asia/Dubai
90185,CALL0083925,ACC0025414,BRW0003972,2026-06-30 07:48:13,AGT0000778,CMP0000027,INBOUND,VND0000013,BUSY,354,Asia/Dubai
84575,CALL0084576,ACC0012842,BRW0007237,2026-02-08 17:06:42,,CMP0000050,OUTBOUND,VND0000008,BUSY,165,UTC
90825,CALL0084576,ACC0012842,BRW0007237,2026-02-08 17:06:42,AGT0000752,CMP0000050,OUTBOUND,VND0000008,BUSY,165,UTC
85212,CALL0085213,ACC0019600,BRW0010252,2026-02-18 23:00:04,AGT0000520,CMP0000033,OUTBOUND,VND0000005,VOICEMAIL,261,Asia/Kolkata
90155,CALL0085213,ACC0019600,BRW0010252,2026-02-18 23:00:04,,CMP0000033,OUTBOUND,VND0000005,VOICEMAIL,261,Asia/Kolkata
85264,CALL0085265,ACC0003740,BRW0002684,2026-02-03 08:46:33,AGT0000256,CMP0000027,OUTBOUND,VND0000005,ANSWERED,581,UTC
91001,CALL0085265,ACC0003740,BRW0002684,2026-02-03 08:46:33,,CMP0000027,OUTBOUND,VND0000005,ANSWERED,581,UTC
85589,CALL0085590,ACC0008609,BRW0004495,2026-01-01 15:12:26,AGT0000134,CMP0000076,OUTBOUND,VND0000014,VOICEMAIL,569,Asia/Kolkata
90956,CALL0085590,ACC0008609,BRW0004495,2026-01-01 15:12:26,,CMP0000076,OUTBOUND,VND0000014,VOICEMAIL,569,Asia/Kolkata
87768,CALL0087769,ACC0024452,BRW0005924,2026-06-14 17:37:40,AGT0000369,CMP0000097,OUTBOUND,VND0000008,VOICEMAIL,130,Asia/Kolkata
90431,CALL0087769,ACC0024452,BRW0005924,2026-06-14 17:37:40,,CMP0000097,OUTBOUND,VND0000008,VOICEMAIL,130,Asia/Kolkata
